"goal","raised","backers","comments","parentCat","lat","lon"
1500,1500,16,0,"Publishing",34.0522,-118.244
75000,12736,55,1,"Technology",44.9442,-93.0861
40000,42748.26,556,164,"Design",38.0293,-78.4767
6000,6095.88,92,0,"Film & Video",28.5986,77.1849
2500,2745,34,0,"Film & Video",40.65,-73.95
500,500,12,0,"Film & Video",41.4995,-81.6954
1250,177.5,7,0,"Comics",41.85,-87.6501
5000,1185,25,42,"Games",41.7001,-71.4162
50000,51200.51,470,110,"Games",34.2856,-118.882
200000,13876,171,34,"Games",51.2772,-0.610235
57500,16777.05,586,79,"Games",40.7143,-74.006
1000,15196,694,38,"Design",39.203,-76.858
3500,3666,65,2,"Film & Video",37.8044,-122.271
50000,49643.58,1113,42,"Comics",37.7749,-122.419
10000,4795.67,68,3,"Theater",42.3584,-71.0598
8000,25895.11,800,8,"Art",41.85,-87.6501
12000,12853.41,198,6,"Art",29.4241,-98.4936
11000,44028.69,1488,87,"Games",41.85,-87.6501
5000,2086,48,4,"Music",40.65,-73.95
3000,831,29,1,"Music",45.5235,-122.676
18000,10961,88,0,"Music",37.7749,-122.419
18000,5222,46,0,"Games",34.0522,-118.244
13000,12845.11,49,0,"Music",40.7143,-74.006
24250,10070,50,0,"Music",36.1659,-86.7844
30000,6,2,0,"Games",37.8044,-122.271
290000,53920,1086,236,"Games",32.7153,-117.157
7500,7759.5,118,0,"Comics",43.0389,-87.9065
5000,295,11,0,"Publishing",40.4198,-79.8501
2000,3285,54,4,"Film & Video",37.7749,-122.419
75000,160,6,0,"Games",34.0522,-118.244
800,800,16,0,"Music",30.2672,-97.7431
5000,5355,108,3,"Theater",43.6525,-79.3817
2000,2033,27,1,"Theater",31.7587,-106.487
600,600,14,2,"Art",38.0494,-122.159
3000,3280,35,2,"Music",35.0845,-106.651
1500,1530,26,3,"Music",40.7608,-111.891
500,731.89,22,0,"Music",32.7153,-117.157
500,585,24,1,"Music",41.6005,-93.6091
8000,0,0,0,"Music",43.1548,-77.6156
3500,136,4,0,"Art",59.3328,18.0645
15000,50,1,1,"Music",34.1511,-118.448
10000,14145,81,0,"Film & Video",37.3394,-121.895
2500,2770,39,3,"Music",42.3584,-71.0598
17000,25,2,0,"Music",43.1548,-77.6156
1500,1660,27,24,"Games",42.3584,-71.0598
4000,1212,24,3,"Music",36.154,-95.9928
20000,435,10,0,"Film & Video",0,0
5000,1207.25,19,0,"Photography",27.9419,96.1349
7000,397,11,0,"Games",42.3584,-71.0598
6000,50,2,0,"Technology",0,0
50000,70,4,2,"Comics",29.7629,-95.3831
2000,2000,46,3,"Film & Video",42.3584,-71.0598
8000,13641.22,274,35,"Music",41.3462,-73.079
5000,5831,42,1,"Film & Video",34.0522,-118.244
1800,2087,53,7,"Music",41.3462,-73.079
15000,16331.5,210,10,"Music",41.85,-87.6501
22000,7140,27,6,"Music",36.1659,-86.7844
500000,50,1,0,"Film & Video",40.2204,-74.0121
10000,25,1,0,"Film & Video",45.6387,-122.661
10500,1615,14,0,"Film & Video",40.2204,-74.0121
15000,100,2,0,"Theater",40.7143,-74.006
3000,1085,17,0,"Music",40.2204,-74.0121
10000,2296.62,31,0,"Art",40.7719,-73.9306
50000,29871,313,4,"Food",37.7749,-122.419
80000,52577,349,0,"Theater",40.4233,-104.709
1500,685,10,0,"Music",38.5816,-121.494
5000,5031,53,0,"Music",34.0522,-118.244
1000,1123,27,0,"Music",43.6137,-116.238
5000,5454,82,0,"Film & Video",64.1353,-21.8952
350,360,12,0,"Music",40.3166,-77.0219
8000,8510,103,0,"Theater",40.7143,-74.006
998,1583,26,0,"Theater",41.824,-71.4128
8008,8724,310,23,"Music",40.015,-105.271
400,1085,47,3,"Music",34.0522,-118.244
1000,2101.28,39,0,"Music",28.0395,-81.9498
200,685,15,6,"Art",26.2379,-80.1248
5000,905,13,0,"Art",5.10506,-1.24723
4444,4999,59,4,"Music",40.7143,-74.006
10000,11073,204,14,"Film & Video",40.7143,-74.006
5000,5702.42,105,12,"Film & Video",35.0845,-106.651
